Install Time,Event Time,Adset,City
4/7/22 1:24,4/7/22 1:30,5,Valparaiso De Goias
4/6/22 22:00,4/7/22 1:26,5,Rio De Janeiro
4/7/22 1:02,4/7/22 1:07,5,Novo Hamburgo
4/7/22 0:11,4/7/22 0:40,5,Sao Paulo
4/6/22 21:46,4/6/22 23:34,5,Ibiuna
4/6/22 21:51,4/6/22 21:53,5,Rio Largo
4/6/22 21:37,4/6/22 21:40,5,Coromandel
4/6/22 15:56,4/6/22 18:53,5,Laguna
4/6/22 17:25,4/6/22 17:30,5,Capinzal Do Norte
4/6/22 15:49,4/6/22 15:51,5,Sao Paulo
4/6/22 15:46,4/6/22 15:49,5,Paicandu
4/6/22 12:09,4/6/22 12:13,1,Sumare
4/6/22 3:07,4/6/22 3:13,1,Guaruja
4/6/22 1:40,4/6/22 1:54,2,Aguas Lindas De Goias
4/6/22 0:41,4/6/22 1:23,2,Aquiraz
4/5/22 21:30,4/5/22 21:38,2,Santa Adelia
4/5/22 1:09,4/5/22 1:24,1,Florianopolis
4/4/22 11:55,4/4/22 11:59,1,Formosa
4/4/22 10:37,4/4/22 10:45,1,Macae
